标题                            	URL                                                         	分类名称	描述
中国科技网	http://www.stdaily.com	中央重点新闻网站	中国科技网是以科技新闻和信息传播为主业的综合性网络媒体。2010年，中央外宣办核准网站名称为“中国科技网”，并视同国家重点新闻网站进行管理，日均网页访问量达百万级别。
中工网	http://www.workercn.cn	中央重点新闻网站	中工网创办于2008年。是由中华全国总工会主管主办、工人日报社领导和管理的大型综合性中央新闻网站。
中国农网	http://www.farmer.com.cn	中央重点新闻网站	中国农网是经国务院新闻办公室批准刊载新闻的综合性网站，是中央级综合性大报——农民日报建设的大型网上信息发布平台
中青在线	http://www.cyol.com	中央重点新闻网站	中央重点新闻网站，提供权威、全面的新闻资讯服务。
中国妇女网	http://www.cnwomen.com.cn	中央重点新闻网站	中央重点新闻网站，提供权威、全面的新闻资讯服务。
中国军网	http://www.81.cn	中央重点新闻网站	中国军网是经中央军委批准的中国人民解放军唯一新闻门户网站，第一时间向全球网民发布权威军事资讯，追踪军事热点，反映军事动态，介绍国内外最新武器发展动态，拥有中国最大的军事图片库，提供独家发布的军事视频。
习近平系列重要讲话数据库	http://jhsjk.people.cn	学习参考	习近平系列重要讲话数据库
习近平总书记全面从严治党重要论述数据库	http://people.ccdi.gov.cn	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
习近平关于妇女儿童和妇联工作的重要论述	http://www.cnwomen.com.cn/cnwomen/xjpgyfnhfngzdzyls/index.shtml	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
习近平日志-学习强国	https://www.xuexi.cn/8d9b1af46e364538c701b5b09ba7a66b/9aa52441571757a3d0d7e46d543027c6.html	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
习近平重要讲话-学习强国	https://www.xuexi.cn/588a4707f9db9606d832e51bfb3cea3b/9a3668c13f6e303932b5e0e100fc248b.html	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
习近平文汇-学习强国	https://www.xuexi.cn/5c90534c80d14c060d6683fa960e3676/82573c005c024095037d2186a02244cb.html	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
习近平同期声-学习强国	https://www.xuexi.cn/fcfa179537ceda0bfbee9727591a102c/4ec8b5c5df17c32984741d967609a967.html	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
学习金句-学习强国	https://www.xuexi.cn/201b4b77563fc1aa1c21c60723ab4286/9a3668c13f6e303932b5e0e100fc248b.html?pageNumber=1	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
理论新境界-求是网	http://www.qstheory.cn/zt2020/llxjj/index.htm	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
学习笔记-求是网	http://www.qstheory.cn/qszq/xxbj/index.htm	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
学习路上-人民网	http://cpc.people.com.cn/xuexi/#	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
学习进行时-新华网	http://www.xinhuanet.com/politics/xxjxs	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
习近平视频集-央视网	http://politics.cntv.cn/leaders/person/xijinping/index.shtml	学习参考	习近平同志视频报道集 习近平同志活动报道集
每日一习话-央广网	http://news.cnr.cn/mryxh	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
学习强军-中国军网	http://www.81.cn/xue-xi/102726.htm	学习参考	专栏设置学习日历、影视在线、统帅与士兵、学习原著、学习讲堂、习语共鸣和学习新视界七大板块。
习总书记话文明-中国文明网	http://www.wenming.cn/sxll/djlm/hwm22/zyt/	学习参考	中国文明网由中央宣传部、中央文明办主办, 是全国宣传思想战线和精神文明建设系统的门户网站，宗旨是传播文明、引领风尚。
中国习观-中国网	http://xitheory.china.com.cn/	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
讲习所-国际在线	https://news.cri.cn/gjjxs	学习参考	讲习所
学习时代-中国日报网	http://china.chinadaily.com.cn/xuexi/index.html	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
习声回响-央广网	http://news.cnr.cn/xshx	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
学习小组-海外网	http://opinion.haiwainet.cn/456318	学习参考	海外网是人民日报海外版的官方网站,海外网将充分发挥人民日报海外版官网权威性的优势,第一时间向读者提供关于两岸问题、中国问题以及国际问题特别是涉华国际新闻事件的权威解读；面向海外同胞开辟了一批本土化、服务性的频道和栏目,希望海外网成为全球华人的生活社区和网上家园
学习平台-共产党员网	http://www.12371.cn/special/xxzd	学习参考	习近平新时代中国特色社会主义思想学习平台，收录党的十八大以来习近平总书记的重要活动和重要讲话，提供音视频、图片、文字等形式的学习课件。
《学习活页文选》-党建网	http://www.dangjian.cn/xxhywx/list2_50788_1.html	学习参考	党建网是中共中央宣传部主管，《党建》杂志社主办，具有新闻采编发布、视频播放资质的全国党建工作门户网站，被中央网信办确定为可供网站转载新闻的中央新闻网站、中央重点理论网站。
学习思想库-中央党校	http://www.ccps.gov.cn/xxsxk	学习参考	聚焦习近平新时代中国特色社会主义思想，提供丰富的学习资料。
北京大学马克思主义学院	https://marxism.pku.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
清华大学马克思主义学院	https://www.smarx.tsinghua.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
中国人民大学马克思主义学院	http://marx.ruc.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
南开大学马克思主义学院	http://cz.nankai.edu.cn	高校重点马院	南开大学马克思主义学院
吉林大学马克思主义学院	http://marx.jlu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
复旦大学马克思主义学院	https://som.fudan.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
山东大学马克思主义学院	http://www.mlb.sdu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
武汉大学马克思主义学院	http://marx.whu.edu.cn	高校重点马院	武汉大学马克思主义学院
兰州大学马克思主义学院	http://marx.lzu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
北京师范大学马克思主义学院	http://marx.bnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
大连理工大学马克思主义学院	http://marx.dlut.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
东北师范马克思主义学部	https://marxism.nenu.edu.cn/	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
华东师范大学马克思主义学院	http://mks.ecnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
南京大学马克思主义学院	https://marxism.nju.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
浙江大学马克思主义学院	http://marx.zju.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
福建师范大学马克思主义学院	http://mkszyxy.fjnu.edu.cn	高校重点马院	学校描述
郑州大学马克思主义学院	http://www5.zzu.edu.cn/mkszy	高校重点马院	郑州大学马克思学院
中山大学马克思主义学院	http://mkszyxy.sysu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
四川大学马克思主义学院	http://mkszy.scu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
西安交通大学马克思主义学院	http://marx.xjtu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
新疆师范大学马克思主义学院	https://maxxy.xjnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
首都师范大学马克思主义学院	https://my.cnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
天津师范大学马克思主义学院	http://mkszy.tjnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
河北师范大学马克思主义学院	http://mayuan.hebtu.edu.cn	高校重点马院	河北师范大学马克思主义学院
辽宁大学马克思主义学院	http://marx.lnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
哈师大马克思主义学院	http://mkszyxy.hrbnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
同济大学马克思主义学院	https://my.tongji.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
南京师范大学马克思主义学院	http://marx.njnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
安徽师大马克思主义学院	https://marx.ahnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
江西师范大学马克思主义学院	https://mar.jxnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
山东师大马克思主义学院	http://www.marx.sdnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
华中师大马克思主义学院	http://marx.ccnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
华南师范大学马克思主义学院	http://mks.scnu.edu.cn	高校重点马院	华南师范大学马克思主义学院，起始于1957年建立的华南师范大学马列主义教研室，改革开放后发展成为思想教育管理学系（思教系），2000年整合德育教研室成立思想政治理论课教学部，2012年正式挂牌成立马克思主义学院。学院主要负责全校本科生、研究生思想政治理论课的教学、马克思主义理论学科建设，承担博士生、硕士生的培养和各层次的培训任务。
广西师大马克思主义学院	http://www.mar.gxnu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
西南大学马克思主义学院	http://marxism.swu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
贵州师大马克思主义学院	https://marx.gznu.edu.cn	高校重点马院	全国重点马克思主义学院，马克思主义理论研究与人才培养重镇。
理论-人民网	http://theory.people.com.cn	理论评论	最权威的理论网站 网上理论学习园地 汇聚百家 理论天下 解读政策 传播新知
人民网评-人民网	http://opinion.people.com.cn/GB/223228/index.html	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
新华网评-新华网	http://www.xinhuanet.com/comments/index.htm	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
新华理论-新华网	http://www.xinhuanet.com/politics/xhll.htm	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
评论频道-央视网	https://opinion.cctv.com/?spm=C96370.PPDB2vhvSivD.EHs6gRsubYjI.6	理论评论	央视网评 央视网评
时评频道-光明网	https://guancha.gmw.cn	理论评论	时评频道秉承光明网“新闻视野、文化视角、思想深度、理论高度”的办网理念，以“直面热点、理性述评、针砭时弊、激浊扬清”为栏目定位。注重内容的精炼和深度，突出时评、原创，集中推出社会、经济、教育、文化、科技等各领域的独家评论，针对重要热点话题能时时发出属于光明网自己独到的声音。主要设置有光明网评论员、光明言论、光明时评、光明观察、百家争鸣、犀利榜等12个栏目。
光明思想理论网-光明网	https://theory.gmw.cn	理论评论	光明思想理论网是光明网精心打造的品牌之一，曾获得过中国新闻奖，还被国务院新闻办互联网新闻研究中心、互联网新闻信息服务工作委员会评选为中国互联网站品牌栏目（频道）。该频道以“解析理论热点、探求行动方略”为口号，紧紧依靠光明日报的理论、学术资源，开设了理论讲坛、专家视点、热点关注、图书推荐等栏目，网友可以在这里了解“六个为什么”、最新的理论动态，在线阅读精选理论文章。
评论理论频道-中国经济网	http://views.ce.cn	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
理论频道-中国日报网	http://china.chinadaily.com.cn/theory	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
评论频道-中国日报网	http://china.chinadaily.com.cn/5bd5639ca3101a87ca8ff634	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
国际锐评-国际在线	http://news.cri.cn/guojiruiping	理论评论	国际视野、中国立场、民众关注
央广网评-央广网	http://news.cnr.cn/comment/cnrp	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
理论频道-中国新闻网	http://www.chinanews.com/theory	理论评论	中国新闻网是知名的中文新闻门户网站，也是全球互联网中文新闻资讯最重要的原创内容供应商之一。依托中新社遍布全球的采编网络,每天24小时面向广大网民和网络媒体，快速、准确地提供文字、图片、视频等多样化的资讯服务。在新闻报道方面，中新网动态新闻及时准确，解释性报道角度独特，稿件被国内外网络媒体大量转载。
中工理论-中工网	http://www.workercn.cn/theory	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
思想-中国农网	https://www.farmer.com.cn/farmer/sx/znp/list.shtml	理论评论	中国农网报道仲农平相关新闻，仲农平是农业科技领域的专家，致力于推动农业科技发展，为农业产业升级提供技术支持和创新解决方案。
女网时评-中国妇女网	http://www.cnwomen.com.cn/cnwomen/gglm//gglmnwsp/list.shtml	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
理论-中国军网	http://www.81.cn/ll/index.htm	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
雪域时评-中国西藏新闻网	https://www.xzxw.com/jysp/#	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
南海时评-南海网	http://www.hinews.cn/news/shiping/index.shtml	理论评论	南海网时评栏目，言论，理性、良知、言论的责任，阳光的立场。包括独家评论、建言海南、社会长焦、时政瞭望、国际视点、文娱批判、体育纵横、专题回顾。
珠江评论-金羊网	http://sp.ycwb.com	理论评论	金羊网,金羊,华南地区最出色的新闻网站,新闻网站,羊城晚报,新快报,可乐生活,新闻媒体,网络媒体,电子媒体
南方理论-南方网	http://theory.southcn.com	理论评论	南方理论--由广东省委宣传部理论处主办，南方网承办的网上学术交流的平台。本频道注重特色的原创宣传，充分整合利用广东省社科资源，结合时下理论热点问题策划专题，接受全国网友投稿。频道下设独家原创区、热点话题、理论专题、会议解读、中心组学习、岭南大讲坛、专家博客、理论关键词、热点网谈、网友论道、政经理论、党史党建、决策参考、领导干部论坛、为政参考、经典文库、学术观点、社会观察、文史哲教、政策解读、...
桂声-广西新闻网	http://opinion.gxnews.com.cn	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
桂在有理-广西新闻网	http://lilun.gxnews.com.cn	理论评论	桂在有理，广西日报理论部、广西新闻网 联合主办
西岸时评-东南网	http://www.fjsen.com/r/view.htm	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
贵州评论-多彩贵州网	http://comment.gog.cn/index.shtml	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
彩云网评-云南网	http://comment.yunnan.cn	理论评论	彩云网评全媒体网评平台致力于“传递和解读党委政府声音，打通两个舆论场”“评论时事热点，表达网民声音，搭建沟通桥梁”“弘扬真善美，抨击假恶丑”。突出品牌化思路，以“云”统领相关栏目，主要包括云要论、云理论、云时评、云新评、云观点、云新品等“云”系列栏目，目前“彩云网评”已成为云南省重要的舆论阵地和舆论引导平台。
思想频道-宁夏新闻网	http://www.nxnews.net/sx	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
理论甘肃-甘肃理论网	http://ll.gansudaily.com.cn	理论评论	理论甘肃是由甘肃日报社主办，甘肃日报社评论部和每日甘肃网联合承办的甘肃最权威的理论网站，旨在打造甘肃第一理论品牌阵地。该频道紧紧依靠甘肃日报的理论和学术资源，开设了政策解读、大家讲坛、领导论政、智库思考、微言大义、以图论理、学习路上、思想书摘、党报要论等栏目，为甘肃在经济、文化、教育、法治、社会等各领域的理论建设提供网上智库资源，并为全省在各领域的理论创新成果开辟网上宣传阵地。
理论频道-中国甘肃网	http://theory.gscn.com.cn	理论评论	理论频道为中国甘肃网子频道,24小时滚动播报甘肃新闻资讯.
理论·评论-大江网	https://jxcomment.jxnews.com.cn	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
天府评论-四川在线	https://comment.scol.com.cn	理论评论	四川在线评论频道，品评四川热点新闻，四川人民的一个主要网站，汇集四川新闻要言要论的综合性互联网舆论阵地，是四川新闻在网络上最权威的声音。
太阳鸟时评-四川新闻网	http://opinion.newssc.org	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
中安时评-中安在线	http://comment.anhuinews.com	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
长江时评-长江网	http://cjsp.cjn.cn/?spm=zm1066-001.0.0.1.RQzv8m	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
华声评论-华声在线	https://opinion.voc.com.cn	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
红网-红辣椒评论	https://hlj.rednet.cn	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
紫金e评-中国江苏网	http://review.jschina.com.cn	理论评论	中国江苏网评论栏目以原创新闻和原创评论为特色，采用文字、视频、播客、图片、直播等全媒体技术进行深度创新报道。
秦平-群众新闻网	https://www.sxdaily.com.cn/node_727.html	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
理论频道-山西新闻网	http://theory.sxrb.com	理论评论	山西新闻,主流媒体,山西门户。山西新闻网是经国务院新闻办审核批准，由山西日报社主管、主办的山西省重点新闻网站。山西新闻网以“立足山西、传播山西、服务网友”为职责，走全媒体、多终端的发展道路，被中国互联网协会列为“全国百强网站”之一”。
理论频道-黄河新闻网	http://www.sxgov.cn/node_289105.htm	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
学术中原-大河网	https://theory.dahe.cn	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
敕勒川评论-正北方网	http://www.northnews.cn/news/clcpinlun/index.html	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
理论-内蒙古新闻网	http://inews.nmgnews.com.cn/sx/ll	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
理论频道-河北新闻网	http://theory.hebnews.cn	理论评论	汇聚深度理论文章与时事评论，解读政策，引领舆论。
渤海潮评论-长城网	http://bhc.hebei.com.cn	理论评论	渤海潮评论用声音传递思想,最广泛的收集与反映民众声音,涉及热点事件,媒体热评,社会民生,时政要闻,热点新闻等方面,是具有鲜明网络风格的综合性评论频道.
中国精神研究	https://www.xuexi.cn/12caa7607ae8d2460f55319c585f59a5/a086658e8b5358ef19c67cbed58dcbe6.html	正能量	弘扬社会主义核心价值观，讲述中国故事，传播社会正能量。
时代楷模发布厅	http://tv.cctv.com/lm/sdkmfbt//index.shtml?spm=C31267.P8IBkOdGViVj.EPQsu6JS2zkD.1	正能量	“时代楷模”是由中宣部集中组织宣传的全国重大先进典型。时代楷模充分体现“爱国、敬业、诚信、友善”的价值准则,充分体现中华传统美德,是具有很强先进性、代表性、时代性和典型性的先进人物。根据时代楷模的职业身份,以中宣部和有关部门名义发布。
核心价值观百场讲坛	http://topics.gmw.cn/bcjt	正能量	核心价值观百场讲坛活动由中宣部宣教局、光明日报社共同主办，光明网承办。
中央和国家机关创建模范机关	http://dangjian.people.com.cn/GB/136058/431693/index.html	正能量	弘扬社会主义核心价值观，讲述中国故事，传播社会正能量。
CCTV开讲啦	https://tv.cctv.com/lm/kjl/index.shtml?spm=C96370.PsikHJQ1ICOX.EI1aGCKnvHYi.13	正能量	中央电视台CCTV-1综合频道《开讲啦》是中国首档青年电视公开课。《开讲啦》每期节目有十位来自各大高校的青年代表向嘉宾提问，打破演讲固有教化模式，使《开讲啦》更加自由多元。这个盛夏，聆听中国思想好声音《开讲啦》！
故事里的中国	https://tv.cctv.com/lm/gsldzg/index.shtml?spm=C96370.PsikHJQ1ICOX.EI1aGCKnvHYi.10	正能量	通过系统梳理与总结新中国成立70年以来的现实主义题材作品,选取集思想、艺术、观赏性于一体的优秀人物和故事,融合影视、戏剧、综艺等艺术手法,串联新中国“影像艺术博物馆”,重现经典,挖掘经典背后荡气回肠的真实印记和时代精神。
中华民族	https://tv.cctv.com/lm/zhmz/index.shtml?spm=C96370.PsikHJQ1ICOX.EI1aGCKnvHYi.22	正能量	专门报道中国少数民族的专题类栏目。以介绍中国西部的地域、人文环境,反映各民族人民的传统习俗和文化传承,表现各民族同胞的精神面貌为主要内容。
经典咏流传	http://tv.cctv.com/lm/jdylc3/index.shtml?spm=C31267.PsBNSpxupnEi.EvNeMD6XEn5C.1	正能量	大型诗词文化音乐节目《经典咏流传第二季》，原创“和诗以歌”的模式,用流行音乐演绎经典诗词、经典文学作品，传承和传播中华优秀传统文化，传递向上向善的主流价值。
百家讲坛	https://tv.cctv.com/lm/bjjt/index.shtml?spm=C96370.PsikHJQ1ICOX.E2iNMmBTH5oP.1	正能量	《百家讲坛》栏目一贯坚持“让专家、学者为百姓服务”的栏目宗旨,栏目在专家、学者和百姓之间架起一座桥梁“一座让专家通向老百姓的桥梁”,从而达到普及优秀中国传统文化的目的。
中国梦实践者	https://news.cctv.cn/special/zgmsjz	正能量	中国梦实践者中国梦实践者中国梦实践者中国梦实践者中国梦实践者
古籍善本与中华文脉	http://topics.gmw.cn/node_122142.htm	正能量	中华善本，是中华文明续火之薪。为推动中华优秀传统文化创造性转化、创新性发展，让搭载互联网平台的中华优秀传统文化“活起来”“火起来”，光明网拟开展中华善本再生性保护网路传播活动，通过内涵挖掘和价值呈现，进一步激发传统文化的生机与活力。
国家相册系列微纪录片	http://www.xinhuanet.com/video/2019zhuanti/gjxc3rd/index.htm	正能量	弘扬社会主义核心价值观，讲述中国故事，传播社会正能量。
五个一工程	https://www.xuexi.cn/6dd69137d25db5673406cf8d1480548e/28d3e5cb24036a88cad7550485262507.html	正能量	弘扬社会主义核心价值观，讲述中国故事，传播社会正能量。
好记者讲好故事	http://www.zgjx.cn/goodreports/index.htm	正能量	弘扬社会主义核心价值观，讲述中国故事，传播社会正能量。
大国工匠	http://character.workercn.cn/dggj/index.html	正能量	弘扬社会主义核心价值观，讲述中国故事，传播社会正能量。
新时代文明实践中心	http://www.wenming.cn/wmsjzx	正能量	中国精神文明网网站（简称“中国文明网”）是中央宣传部、中央文明办的门户网站, 是全国宣传思想文化工作和精神文明建设的重要窗口。
英烈纪念堂	http://www.81.cn/yljnt/index.htm	正能量	弘扬社会主义核心价值观，讲述中国故事，传播社会正能量。
中共中央党校（国家行政学院）	http://www.ccps.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共北京市委党校（北京行政学院）	https://www.bai.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共上海市委党校（上海行政学院）	http://www.sdx.sh.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共天津市委党校（天津行政学院）	https://www.tjdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共重庆市委党校（重庆行政学院）	http://www.cqdx.gov.cn	党校（行政学院）	默认主站
中共黑龙江省委党校（黑龙江省行政学院）	http://www.hljswdx.org.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共吉林省委党校（吉林省行政学院）	http://www.jlswdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共辽宁省委党校（辽宁行政学院）	http://www.lnswdx.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共河北省委党校（河北行政学院）	http://www.hebdx.com	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共内蒙古区委党校（内蒙行政学院）	http://www.nmgdx.cn/index.htm	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共山西省委党校（山西行政学院）	http://www.sxswdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共山东省委党校（山东行政学院）	http://www.sddx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共江苏省委党校（江苏行政学院）	http://www.sdx.js.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共安徽省委党校（安徽行政学院）	http://www.ahdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共福建省委党校（福建行政学院）	http://www.fjdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共江西省委党校（江西行政学院）	http://www.jxdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共河南省委党校（河南行政学院）	http://www.dangxiao.ha.cn	党校（行政学院）	中共河南省委党校
中共湖北省委党校（湖北省行政学院）	http://www.hbdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共湖南省委党校（湖南行政学院）	https://www.hnswdx.gov.cn	党校（行政学院）	中共湖南省委党校,湖南行政学院,红麓网,湖南党校,湖南省委党校
中共广东省委党校（广东行政学院）	http://www.gddx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共广西区委党校（广西行政学院）	http://www.gxdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
